Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
STARS GIFT TAPE,21883,0.65,0.2,0.45,0.3
INFLATABLE POLITICAL GLOBE,10002,0.85,0.55,0.59,0.3
VINTAGE HEADS AND TAILS CARD GAME,21791,1.25,0.94,1.2,0.04
SET/2 RED RETROSPOT TEA TOWELS,21035,2.95,1.88,2.6,0.12
ROUND SNACK BOXES SET OF4 WOODLAND,22326,2.95,2.23,2.27,0.23
SPACEBOY LUNCH BOX,22629,1.95,1.54,1.58,0.19
LUNCH BOX I LOVE LONDON,22659,1.95,0.9,1.09,0.44
CIRCUS PARADE LUNCH BOX,22631,1.95,1.59,1.85,0.05
CHARLOTTE BAG DOLLY GIRL DESIGN,22661,0.85,0.55,0.74,0.13
RED TOADSTOOL LED NIGHT LIGHT,21731,1.65,1.62,1.62,0.02
SET 2 TEA TOWELS I LOVE LONDON,22900,2.95,2.32,2.42,0.18
VINTAGE SEASIDE JIGSAW PUZZLES,21913,3.75,2.47,2.89,0.23
MINI JIGSAW CIRCUS PARADE,22540,0.42,0.21,0.26,0.39
MINI JIGSAW SPACEBOY,22544,0.42,0.05,0.29,0.3
MINI PAINT SET VINTAGE,22492,0.65,0.48,0.55,0.15
PAPER CHAIN KIT 50'S CHRISTMAS,22086,2.55,2.11,2.17,0.15
EDWARDIAN PARASOL RED,20679,4.95,2.66,3.37,0.32
RETRO COFFEE MUGS ASSORTED,37370,1.06,1.02,1.03,0.03
SAVE THE PLANET MUG,21871,1.06,0.57,0.94,0.11
VINTAGE BILLBOARD DRINK ME MUG,21071,1.06,0.28,0.87,0.18
VINTAGE BILLBOARD LOVE/HATE MUG,21068,1.06,0.85,0.92,0.13
WOOD 2 DRAWER CABINET WHITE FINISH,82483,4.95,2.68,4.7,0.05
WOOD S/3 CABINET ANT WHITE FINISH,82486,6.95,3.69,4.1,0.41
WOODEN PICTURE FRAME WHITE FINISH,82482,2.1,1.91,1.93,0.08
WOODEN FRAME ANTIQUE WHITE,82494L,2.55,0.06,0.56,0.78
VICTORIAN SEWING BOX LARGE,21258,10.95,7.27,8.21,0.25
HOT WATER BOTTLE TEA AND SYMPATHY,22114,3.45,1.12,2.45,0.29
RED HANGING HEART T-LIGHT HOLDER,21733,2.55,1.89,1.94,0.24
JUMBO BAG PINK POLKADOT,22386,1.95,0.2,0.62,0.68
JUMBO  BAG BAROQUE BLACK WHITE,85099C,1.95,0.49,1.29,0.34
JUMBO BAG CHARLIE AND LOLA TOYS,21033,2.95,0.66,1.65,0.44
STRAWBERRY CHARLOTTE BAG,20723,0.85,0.76,0.77,0.1
RED 3 PIECE RETROSPOT CUTLERY SET,84997B,3.75,1.17,2.62,0.3
BLUE 3 PIECE POLKADOT CUTLERY SET,84997C,3.75,3.36,3.52,0.06
SET/6 RED SPOTTY PAPER PLATES,21094,0.85,0.45,0.58,0.32
LUNCH BAG RED RETROSPOT,20725,1.65,1.28,1.3,0.21
STRAWBERRY LUNCH BOX WITH CUTLERY,21559,2.55,1.54,2.35,0.08
LUNCH BOX WITH CUTLERY RETROSPOT,22352,2.55,1.84,1.86,0.27
PACK OF 72 RETROSPOT CAKE CASES,21212,0.42,0.39,0.39,0.06
PACK OF 60 DINOSAUR CAKE CASES,21975,0.55,0.34,0.47,0.15
PACK OF 60 PINK PAISLEY CAKE CASES,21977,0.55,0.3,0.41,0.26
60 TEATIME FAIRY CAKE CASES,84991,0.55,0.48,0.54,0.02
TOMATO CHARLIE+LOLA COASTER SET,84519A,2.95,0.4,1.95,0.34
CHARLIE & LOLA WASTEPAPER BIN FLORA,85183B,1.25,0.19,0.5,0.6
RED CHARLIE+LOLA PERSONAL DOORSIGN,85071B,0.38,0.28,0.33,0.12
JUMBO STORAGE BAG SUKI,21931,1.95,1.92,1.91,0.02
JUMBO BAG PINK VINTAGE PAISLEY,21929,1.95,0.72,1.5,0.23
JAM MAKING SET PRINTED,22961,1.45,1.2,1.25,0.14
RETROSPOT TEA SET CERAMIC 11 PC,22139,4.25,0.82,1.1,0.74
GIRLY PINK TOOL SET,84854,4.95,4.74,4.85,0.02
JUMBO SHOPPER VINTAGE RED PAISLEY,22411,1.95,0.5,1.68,0.14
"AIRLINE LOUNGE,METAL SIGN",82567,2.1,0.22,1.6,0.24
WHITE SPOT RED CERAMIC DRAWER KNOB,21672,1.25,0.62,0.85,0.32
RED DRAWER KNOB ACRYLIC EDWARDIAN,22774,1.25,0.87,1.04,0.17
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,22771,1.25,0.18,1.11,0.11
PHOTO CLIP LINE,71270,1.25,1.03,1.16,0.07
FELT EGG COSY CHICKEN,22262,0.85,0.09,0.42,0.51
PIGGY BANK RETROSPOT,22637,2.55,0.27,1.43,0.44
SKULL SHOULDER BAG,21934,1.65,0.68,1.14,0.31
YOU'RE CONFUSING ME METAL SIGN,21169,1.69,0.71,0.95,0.44
COOK WITH WINE METAL SIGN,21166,1.95,1.86,1.89,0.03
GIN + TONIC DIET METAL SIGN,21175,2.1,1.18,2.06,0.02
YELLOW BREAKFAST CUP AND SAUCER,37444A,2.95,0.63,2.74,0.07
PINK BREAKFAST CUP AND SAUCER,37444C,2.95,2.74,2.77,0.06
PAPER CHAIN KIT RETROSPOT,22083,2.95,1.07,1.36,0.54
SMALL HEART FLOWERS HOOK,84971S,0.85,0.22,0.76,0.11
TEA TIME DES TEA COSY,47580,2.55,0.13,0.2,0.92
FELT EGG COSY WHITE RABBIT,22261,0.85,0.29,0.61,0.28
ZINC WILLIE WINKIE  CANDLE STICK,84832,0.85,0.07,0.33,0.61
CERAMIC CHERRY CAKE MONEY BANK,22644,1.45,0.7,0.93,0.36
RETROSPOT LARGE MILK JUG,21533,4.95,4.84,4.85,0.02
SET OF 6 FUNKY BEAKERS,21557,2.95,0.43,2.15,0.27
EDWARDIAN PARASOL BLACK,15056BL,5.95,5.53,5.71,0.04
EDWARDIAN PARASOL NATURAL,15056N,5.95,4.04,4.94,0.17
CERAMIC STRAWBERRY CAKE MONEY BANK,22646,1.45,0.53,0.68,0.53
BLUE OWL SOFT TOY,22176,2.95,0.62,2.36,0.2
BALLOON ART MAKE YOUR OWN FLOWERS,22438,1.95,0.17,1.75,0.1
GLASS CLOCHE SMALL,22778,3.95,2.31,2.96,0.25
GUMBALL MONOCHROME COAT RACK,22719,1.06,0.49,0.58,0.45
DOORMAT FANCY FONT HOME SWEET HOME,21523,6.75,3.89,6.21,0.08
VINTAGE SNAKES & LADDERS,21912,3.75,0.54,3.49,0.07
CHOCOLATE CALCULATOR,21832,1.65,0.58,0.96,0.42
RECYCLING BAG RETROSPOT,22379,2.1,1.91,2.06,0.02
TOY TIDY PINK POLKADOT,22381,1.85,1.39,1.63,0.12
ANTIQUE GLASS DRESSING TABLE POT,22798,2.95,2.42,2.86,0.03
IVORY GIANT GARDEN THERMOMETER,22926,5.95,3.68,5.0,0.16
3 TIER CAKE TIN GREEN AND CREAM,22839,14.95,0.63,3.14,0.79
3 TIER CAKE TIN RED AND CREAM,22838,14.95,3.61,13.46,0.1
SET 3 WICKER OVAL BASKETS W LIDS,22783,16.95,7.94,9.83,0.42
SET OF 3 COLOURED  FLYING DUCKS,35004C,4.65,1.31,4.14,0.11
WOOD BLACK BOARD ANT WHITE FINISH,82484,6.45,0.53,3.87,0.4
COLOUR GLASS T-LIGHT HOLDER HANGING,84755,0.65,0.47,0.6,0.07
HANGING METAL HEART LANTERN,22464,1.65,1.55,1.57,0.05
HANGING MEDINA LANTERN SMALL,21324,2.95,2.36,2.51,0.15
NATURAL SLATE HEART CHALKBOARD,22457,2.95,1.63,2.18,0.26
HEART OF WICKER SMALL,22469,1.45,1.36,1.42,0.02
HEART OF WICKER LARGE,22470,2.55,1.09,1.61,0.37
WHITE LOVEBIRD LANTERN,22224,2.95,0.47,1.33,0.55
CLASSIC METAL BIRDCAGE PLANT HOLDER,21340,12.75,5.78,10.46,0.18
CREAM HEART CARD HOLDER,22189,3.95,0.78,0.95,0.76
ENAMEL FLOWER JUG CREAM,22427,5.95,5.09,5.36,0.1
ENAMEL FIRE BUCKET CREAM,22428,6.95,2.22,6.12,0.12
ENAMEL BREAD BIN CREAM,22424,10.95,8.41,8.43,0.23
JUMBO BAG DOLLY GIRL DESIGN,22663,1.95,0.68,0.88,0.55
TRADITIONAL CHRISTMAS RIBBONS,85049A,1.25,0.15,0.45,0.64
ORGANISER WOOD ANTIQUE WHITE,22168,8.5,1.37,7.9,0.07
LUNCH BAG DOLLY GIRL DESIGN,22662,1.65,0.65,1.06,0.36
WHITE WIRE EGG HOLDER,84880,4.95,2.38,4.6,0.07
JUMBO BAG RED RETROSPOT,85099B,1.65,1.21,1.48,0.1
CHILLI LIGHTS,79321,3.82,1.89,2.86,0.25
LIGHT GARLAND BUTTERFILES PINK,22780,3.37,3.31,3.3,0.02
WOODEN OWLS LIGHT GARLAND,22779,3.37,2.47,2.59,0.23
FAIRY TALE COTTAGE NIGHTLIGHT,22466,1.45,0.26,0.83,0.43
HOME SMALL WOOD LETTERS,21363,4.95,0.85,3.22,0.35
GINGHAM HEART  DOORSTOP RED,21411,4.25,3.73,3.78,0.11
FIVE HEART HANGING DECORATION,22318,2.95,1.1,1.68,0.43
ASSORTED BOTTLE TOP  MAGNETS,22915,0.42,0.34,0.4,0.05
FRIDGE MAGNETS US DINER ASSORTED,22922,0.85,0.14,0.72,0.15
HOMEMADE JAM SCENTED CANDLES,22969,1.45,1.09,1.29,0.11
FRIDGE MAGNETS LES ENFANTS ASSORTED,22923,0.85,0.71,0.77,0.1
ROSE CARAVAN DOORSTOP,21115,6.75,2.21,6.28,0.07
5 HOOK HANGER MAGIC TOADSTOOL,22242,1.65,0.81,1.53,0.07
CHRISTMAS LIGHTS 10 REINDEER,22941,8.5,0.84,6.12,0.28
VINTAGE UNION JACK CUSHION COVER,21622,4.95,4.02,4.06,0.18
SET OF 3 GOLD FLYING DUCKS,35004G,6.35,6.18,6.22,0.02
RED RETROSPOT UMBRELLA,85014B,5.95,5.1,5.59,0.06
BLACK/BLUE POLKADOT UMBRELLA,85014A,5.95,1.72,2.26,0.62
RED DINER WALL CLOCK,22193,8.5,7.17,8.16,0.04
BLUE DINER WALL CLOCK,22192,8.5,5.56,7.22,0.15
IVORY DINER WALL CLOCK,22191,8.5,5.29,6.38,0.25
LARGE HEART MEASURING SPOONS,22195,1.65,0.97,1.39,0.16
SMALL HEART MEASURING SPOONS,22196,0.85,0.05,0.48,0.44
JAM JAR WITH PINK LID,22962,0.72,0.02,0.59,0.18
JAM JAR WITH GREEN LID,22963,0.72,0.24,0.53,0.27
ROSE COTTAGE KEEPSAKE BOX,22968,8.5,0.88,2.72,0.68
HANGING HEART ZINC T-LIGHT HOLDER,84970S,0.64,0.08,0.6,0.07
PAPER CHAIN KIT VINTAGE CHRISTMAS,22910,2.55,0.34,2.09,0.18
DISCO BALL CHRISTMAS DECORATION,20668,0.1,0.05,0.09,0.09
SMALL POPCORN HOLDER,22197,0.72,0.52,0.66,0.09
LARGE POPCORN HOLDER,22198,1.45,0.37,0.93,0.36
SET/20 RED RETROSPOT PAPER NAPKINS,21080,0.64,0.19,0.3,0.53
SET/6 RED SPOTTY PAPER CUPS,21086,0.65,0.49,0.5,0.23
POLKADOT RAIN HAT,21786,0.32,0.16,0.24,0.26
DELUXE SEWING KIT,22654,4.95,0.12,4.55,0.08
RETROSPOT HEART HOT WATER BOTTLE,21485,4.25,3.65,3.87,0.09
ENGLISH ROSE HOT WATER BOTTLE,84030E,3.75,0.52,1.46,0.61
PHOTO CUBE,22174,1.48,0.4,1.15,0.22
PLASTERS IN TIN CIRCUS PARADE,22556,1.65,1.15,1.45,0.12
PACK OF 12 PINK PAISLEY TISSUES,21984,0.29,0.05,0.1,0.65
PACK OF 12 BLUE PAISLEY TISSUES,21983,0.29,0.04,0.13,0.55
PACK OF 12 RED RETROSPOT TISSUES,21980,0.29,0.04,0.22,0.24
CHICK GREY HOT WATER BOTTLE,21484,3.45,0.13,3.28,0.05
PLASTERS IN TIN VINTAGE PAISLEY,22557,1.65,0.49,1.09,0.34
PLASTERS IN TIN SKULLS,22553,1.65,1.33,1.45,0.12
3 STRIPEY MICE FELTCRAFT,22150,1.95,0.5,1.62,0.17
SET OF 6 SOLDIER SKITTLES,22619,3.75,1.19,2.44,0.35
TRADITIONAL WOODEN SKIPPING ROPE,21891,1.25,0.38,0.42,0.66
WOODEN BOX OF DOMINOES,21889,1.25,0.26,0.7,0.44
RUSTIC  SEVENTEEN DRAWER SIDEBOARD,22827,165.0,54.33,105.6,0.36
PARTY CONES CARNIVAL ASSORTED,22127,1.25,0.89,1.09,0.13
PARTY CONES CANDY ASSORTED,22128,1.25,0.23,0.55,0.56
PICNIC BASKET WICKER SMALL,22502,5.95,2.02,2.44,0.59
STAR DECORATION PAINTED ZINC,22338,0.65,0.53,0.62,0.05
RETROSPOT LAMP,22180,9.95,6.28,7.36,0.26
"FANCY FONT BIRTHDAY CARD,",21506,0.42,0.31,0.41,0.03
HAND WARMER SCOTTY DOG DESIGN,22866,1.85,1.69,1.79,0.03
HAND WARMER OWL DESIGN,22865,1.85,0.11,1.68,0.09
DOG BOWL CHASING BALL DESIGN,22349,3.75,0.24,0.82,0.78
CLOTHES PEGS RETROSPOT PACK 24,22558,1.25,0.1,1.2,0.04
HAND OVER THE CHOCOLATE   SIGN,85152,2.1,1.79,1.89,0.1
TRAVEL SEWING KIT,22652,1.65,1.27,1.48,0.1
BLACK HEART CARD HOLDER,22188,3.95,0.68,3.83,0.03
SMALL GLASS HEART TRINKET POT,21314,2.1,1.23,1.85,0.12
ALARM CLOCK BAKELIKE IVORY,22730,3.75,3.62,3.67,0.02
ALARM CLOCK BAKELIKE ORANGE,22729,3.75,0.14,0.19,0.95
HAND WARMER BIRD DESIGN,22867,2.1,2.07,2.06,0.02
IVORY EMBROIDERED QUILT,22803,35.75,3.48,21.45,0.4
SET OF 3 BLACK FLYING DUCKS,35004B,4.65,2.65,3.95,0.15
RED RETROSPOT MUG,21844,2.95,2.65,2.68,0.09
BABUSHKA LIGHTS STRING OF 10,22468,6.75,1.77,4.18,0.38
DOORMAT FAIRY CAKE,48185,7.95,5.44,5.72,0.28
STRAWBERRY CERAMIC TRINKET BOX,21232,1.25,1.15,1.2,0.04
PINK DOUGHNUT TRINKET POT,22064,1.65,0.7,0.81,0.51
SILK PURSE BABUSHKA PINK,22449,3.35,0.64,0.8,0.76
HOT WATER BOTTLE I AM SO POORLY,22835,4.65,0.24,2.93,0.37
CHOCOLATE HOT WATER BOTTLE,22112,4.95,3.67,3.71,0.25
WHITE SKULL HOT WATER BOTTLE,21479,3.75,2.41,3.04,0.19
SCOTTIE DOG HOT WATER BOTTLE,22111,4.95,4.39,4.46,0.1
BIRD HOUSE HOT WATER BOTTLE,22110,2.55,1.93,2.09,0.18
BOUDOIR SQUARE TISSUE BOX,22098,1.25,0.2,1.21,0.03
SKULLS SQUARE TISSUE BOX,22100,1.25,0.25,0.6,0.52
PHOTO FRAME CORNICE,22766,2.95,2.64,2.74,0.07
SILK PURSE BABUSHKA RED,22451,3.35,0.33,0.6,0.82
PICTURE DOMINOES,22549,1.45,0.49,0.49,0.66
S/6 SEW ON CROCHET FLOWERS,84744,1.25,0.99,1.21,0.03
SCANDINAVIAN REDS RIBBONS,85049E,1.25,0.31,1.04,0.17
BALLOONS  WRITING SET,21328,1.65,0.62,0.79,0.52
LAVENDER INCENSE IN TIN,17091A,1.25,0.99,1.07,0.14
TV DINNER TRAY VINTAGE PAISLEY,22473,4.95,3.68,4.41,0.11
SET OF 4 ENGLISH ROSE PLACEMATS,84509A,3.75,2.56,3.49,0.07
SET OF 4 ENGLISH ROSE COASTERS,84510A,1.25,0.78,0.95,0.24
TRIPLE PHOTO FRAME CORNICE,22767,9.95,5.4,9.15,0.08
FAMILY PHOTO FRAME CORNICE,22768,9.95,5.74,6.87,0.31
MIRRORED DISCO BALL,21463,5.95,1.68,5.36,0.1
DISCO BALL ROTATOR BATTERY OPERATED,21464,4.25,3.8,3.91,0.08
SILVER LOOKING MIRROR,20820,4.95,0.22,3.32,0.33
LADIES & GENTLEMEN METAL SIGN,85150,2.55,1.81,2.32,0.09
METAL SIGN HER DINNER IS SERVED,22117,2.95,1.31,1.45,0.51
DOORMAT TOPIARY,48129,7.95,5.41,6.44,0.19
BATHROOM METAL SIGN,82580,0.55,0.03,0.07,0.88
KITCHEN METAL SIGN,82578,0.55,0.06,0.32,0.42
TOILET METAL SIGN,82581,0.55,0.34,0.45,0.18
METAL SIGN TAKE IT OR LEAVE IT,22413,2.95,0.58,0.86,0.71
I'M ON HOLIDAY METAL SIGN,21907,2.1,0.34,1.6,0.24
GROW YOUR OWN BASIL IN ENAMEL MUG,22441,2.1,0.78,1.97,0.06
SET/10 PINK POLKADOT PARTY CANDLES,21122,1.25,1.1,1.19,0.05
SET 20 NAPKINS FAIRY CAKES DESIGN,22851,0.85,0.78,0.8,0.06
SET OF 6 T-LIGHTS SNOWMEN,22810,2.95,1.76,2.06,0.3
SET OF 6 T-LIGHTS SANTA,22809,2.95,2.73,2.8,0.05
SET OF 9 HEART SHAPED BALLOONS,22435,1.25,0.76,1.12,0.1
SANDWICH BATH SPONGE,20966,1.25,0.98,1.04,0.17
APPLE BATH SPONGE,20963,1.25,0.88,1.09,0.13
STRAWBERRY BATH SPONGE,20961,1.25,0.45,0.55,0.56
BLACK PIRATE TREASURE CHEST,22068,1.65,0.3,1.02,0.38
STAR PORTABLE TABLE LIGHT,21743,2.95,0.49,1.36,0.54
SNOWFLAKE PORTABLE TABLE LIGHT,21744,2.95,0.63,1.33,0.55
PINK OVAL JEWELLED MIRROR,84709B,5.95,3.64,4.34,0.27
RETROSPOT CIGAR BOX MATCHES,21592,1.25,0.73,1.14,0.09
COSY HOUR GIANT TUBE MATCHES,21587,2.55,0.28,1.25,0.51
JAZZ HEARTS PURSE NOTEBOOK,20992,0.85,0.03,0.32,0.62
CANDLEHOLDER PINK HANGING HEART,22804,2.95,1.47,2.42,0.18
ASSORTED COLOUR MINI CASES,20749,7.95,4.4,6.44,0.19
LUNCH BAG SPACEBOY DESIGN,22382,1.65,1.55,1.62,0.02
LUNCH BAG WOODLAND,20726,1.65,1.14,1.27,0.23
LUNCH BAG PINK POLKADOT,22384,1.65,1.39,1.47,0.11
GUMBALL COAT RACK,22467,2.55,0.94,2.5,0.02
BLUE NEW BAROQUE CANDLESTICK CANDLE,84625C,2.95,1.69,2.24,0.24
PINK NEW BAROQUECANDLESTICK CANDLE,84625A,2.95,0.67,2.51,0.15
FAIRY CAKE FLANNEL ASSORTED COLOUR,21108,2.55,0.75,2.04,0.2
BREAD BIN DINER STYLE PINK,22848,16.95,1.29,11.36,0.33
TEA TIME TABLE CLOTH,47570B,10.65,2.02,4.58,0.57
HOT WATER BOTTLE BABUSHKA,22837,4.25,1.51,3.91,0.08
HEART IVORY TRELLIS SMALL,22297,1.25,0.32,1.01,0.19
PINK DRAWER KNOB ACRYLIC EDWARDIAN,22772,1.25,0.6,0.76,0.39
GREEN DRAWER KNOB ACRYLIC EDWARDIAN,22773,1.25,0.15,0.57,0.54
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,22805,1.25,0.73,1.05,0.16
SET 6 FOOTBALL CELEBRATION CANDLES,21125,1.25,1.06,1.16,0.07
SET OF 6 GIRLS CELEBRATION CANDLES,21126,1.25,1.13,1.2,0.04
ROMANTIC PINKS RIBBONS,85049C,1.25,0.37,0.42,0.66
BRIGHT BLUES RIBBONS,85049D,1.25,0.54,0.89,0.29
CHOCOLATE BOX RIBBONS,85049G,1.25,0.07,0.91,0.27
PARTY INVITES FOOTBALL,21061,0.85,0.04,0.09,0.89
PARTY INVITES JAZZ HEARTS,21063,0.85,0.46,0.46,0.46
PARTY INVITES SPACEMAN,21062,0.85,0.43,0.73,0.14
SET OF 3 BUTTERFLY COOKIE CUTTERS,84380,1.25,1.21,1.23,0.02
SET OF 3 HEART COOKIE CUTTERS,84378,1.25,0.29,0.71,0.43
3 PIECE SPACEBOY COOKIE CUTTER SET,22964,2.1,0.97,1.47,0.3
PACK OF 72 SKULL CAKE CASES,21213,0.55,0.25,0.43,0.22
PACK OF 60 SPACEBOY CAKE CASES,22417,0.55,0.43,0.47,0.14
72 SWEETHEART FAIRY CAKE CASES,84992,0.55,0.55,0.54,0.02
LUNCH BAG SUKI  DESIGN,22383,1.65,0.38,1.47,0.11
LUNCH BAG CARS BLUE,20728,1.65,0.49,0.91,0.45
LUNCH BAG  BLACK SKULL.,20727,1.65,0.33,0.78,0.53
HEART IVORY TRELLIS LARGE,22296,1.65,0.35,0.38,0.77
SET/5 RED RETROSPOT LID GLASS BOWLS,20914,2.55,2.21,2.47,0.03
MAGIC DRAWING SLATE DINOSAUR,22537,0.42,0.29,0.31,0.26
MAGIC DRAWING SLATE BAKE A CAKE,22533,0.42,0.18,0.34,0.18
12 PENCILS TALL TUBE SKULLS,20982,0.85,0.61,0.82,0.04
RED  HARMONICA IN BOX,21915,1.25,1.13,1.14,0.09
BLUE HARMONICA IN BOX,21914,1.25,0.56,1.17,0.06
SKULLS  WATER TRANSFER TATTOOS,21544,0.85,0.67,0.78,0.08
PACK 3 BOXES BIRD PANNETONE,22813,1.95,1.09,1.85,0.05
SET OF 20 KIDS COOKIE CUTTERS,84375,2.1,1.72,1.81,0.14
10 COLOUR SPACEBOY PEN,22418,0.85,0.37,0.42,0.5
VICTORIAN GLASS HANGING T-LIGHT,22178,1.25,0.4,1.09,0.13
SINGLE HEART ZINC T-LIGHT HOLDER,84970L,0.95,0.9,0.92,0.03
HANGING METAL STAR LANTERN,22465,1.65,0.23,0.59,0.64
SILVER HANGING T-LIGHT HOLDER,84949,1.65,0.86,1.02,0.38
DOORMAT RED RETROSPOT,20685,7.95,3.01,5.72,0.28
DOORMAT HEARTS,48194,7.95,0.45,6.28,0.21
NATURAL SLATE RECTANGLE CHALKBOARD,22488,1.65,0.9,1.45,0.12
LOVEBIRD HANGING DECORATION WHITE,22219,0.85,0.76,0.77,0.1
PENS ASSORTED FUNNY FACE,22610,0.85,0.16,0.57,0.33
CARD CIRCUS PARADE,22716,0.42,0.12,0.26,0.39
WRAP COWBOYS,22706,0.42,0.14,0.21,0.49
AIRLINE BAG VINTAGE TOKYO 78,22371,4.25,2.25,3.49,0.18
SET OF 72 RETROSPOT PAPER  DOILIES,21210,1.45,0.75,0.93,0.36
SLEEPING CAT ERASERS,16237,0.21,0.19,0.2,0.07
CARD BIRTHDAY COWBOY,22714,0.42,0.25,0.32,0.23
PACK 3 BOXES CHRISTMAS PANNETONE,22812,1.95,0.36,0.94,0.52
ROTATING SILVER ANGELS T-LIGHT HLDR,84347,2.55,0.94,1.91,0.25
RIBBON REEL MAKING SNOWMEN,22736,1.65,0.53,0.56,0.66
4 TRADITIONAL SPINNING TOPS,22620,1.25,0.28,1.2,0.04
BAG 500g SWIRLY MARBLES,21705,1.65,0.4,1.24,0.25
5 STRAND GLASS NECKLACE CRYSTAL,90199C,6.35,3.51,3.56,0.44
SQUARECUSHION COVER PINK UNION FLAG,22785,6.75,3.82,5.67,0.16
SPACEBOY CHILDRENS EGG CUP,22975,1.25,0.54,1.23,0.02
CHILDREN'S SPACEBOY MUG,22972,1.65,0.5,0.78,0.53
FELTCRAFT CUSHION OWL,22568,3.75,1.12,2.36,0.37
BLACK CANDELABRA T-LIGHT HOLDER,85116,2.1,0.18,1.26,0.4
TOY TIDY DOLLY GIRL DESIGN,22664,2.1,1.69,2.02,0.04
SET 12 LAVENDER  BOTANICAL T-LIGHTS,21609,2.95,2.6,2.63,0.11
UNION JACK FLAG LUGGAGE TAG,21866,1.25,0.18,0.51,0.59
RED HEART LUGGAGE TAG,20669,1.25,0.03,0.91,0.27
RED GLASS TASSLE BAG CHARM,90129F,2.95,0.87,2.01,0.32
CLEAR ACRYLIC FACETED BANGLE,90210B,2.95,1.13,1.5,0.49
DOORMAT UNION JACK GUNS AND ROSES,21955,7.95,3.52,4.37,0.45
VANILLA SCENT CANDLE JEWELLED BOX,72802C,4.25,1.01,2.08,0.51
FULL ENGLISH BREAKFAST PLATE,22109,3.75,2.73,3.6,0.04
MAGIC DRAWING SLATE CIRCUS PARADE,22531,0.42,0.08,0.16,0.62
CHRISTMAS HANGING HEART WITH BELL,21811,1.25,0.95,1.2,0.04
CAKE STAND VICTORIAN FILIGREE MED,22183,6.75,5.98,6.41,0.05
PAISLEY PATTERN  STICKERS,21678,0.85,0.82,0.83,0.02
FLOWERS  STICKERS,21676,0.85,0.75,0.79,0.07
BLACK LOVE BIRD CANDLE,85169B,1.25,0.39,1.0,0.2
PARTY TIME PENCIL ERASERS,16238,0.21,0.05,0.18,0.15
PINK B'FLY C/COVER W BOBBLES,84906,5.95,3.11,5.36,0.1
PINK UNION JACK  LUGGAGE TAG,21867,1.25,0.68,0.91,0.27
6 RIBBONS ELEGANT CHRISTMAS,22075,1.65,0.12,0.58,0.65
AGED GLASS SILVER T-LIGHT HOLDER,21326,0.65,0.24,0.64,0.02
BOOM BOX SPEAKER GIRLS,21065,5.95,1.66,4.88,0.18
6 RIBBONS SHIMMERING PINKS,22074,1.65,0.57,0.68,0.59
JUMBO BAG OWLS,20713,1.95,1.37,1.58,0.19
