StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
84625C,2.95,2.04,2.36,0.2
84625A,2.95,2.1,2.77,0.06
21108,2.55,1.04,1.94,0.24
22848,16.95,1.35,4.07,0.76
47570B,10.65,3.49,4.79,0.55
22837,4.25,1.73,2.68,0.37
22297,1.25,0.94,1.04,0.17
22772,1.25,0.85,0.89,0.29
22773,1.25,0.67,0.79,0.37
22805,1.25,0.62,1.05,0.16
21125,1.25,1.02,1.2,0.04
21126,1.25,1.16,1.16,0.07
85049C,1.25,0.76,0.98,0.22
85049D,1.25,0.17,1.05,0.16
85049G,1.25,0.85,1.16,0.07
21061,0.85,0.45,0.8,0.06
21063,0.85,0.41,0.5,0.41
21062,0.85,0.63,0.67,0.21
84380,1.25,0.07,0.99,0.21
84378,1.25,0.94,1.1,0.12
22964,2.1,1.74,1.78,0.15
21213,0.55,0.25,0.36,0.35
22417,0.55,0.48,0.53,0.03
84992,0.55,0.52,0.53,0.03
22383,1.65,1.41,1.44,0.13
20728,1.65,0.18,1.45,0.12
20727,1.65,1.49,1.5,0.09
22296,1.65,1.25,1.35,0.18
20914,2.55,1.35,1.43,0.44
22537,0.42,0.18,0.39,0.07
22533,0.42,0.13,0.26,0.38
20982,0.85,0.85,0.84,0.01
21915,1.25,0.73,1.17,0.06
21914,1.25,0.19,0.36,0.71
21544,0.85,0.33,0.59,0.31
22813,1.95,1.1,1.66,0.15
84375,2.1,1.52,1.62,0.23
22418,0.85,0.67,0.67,0.21
22178,1.25,0.88,1.09,0.13
84970L,0.95,0.87,0.92,0.03
22465,1.65,1.52,1.6,0.03
84949,1.65,0.68,1.15,0.3
20685,7.95,4.18,4.21,0.47
48194,7.95,7.5,7.63,0.04
22488,1.65,0.29,1.44,0.13
22219,0.85,0.82,0.83,0.02
22610,0.85,0.84,0.83,0.02
22716,0.42,0.06,0.35,0.17
22706,0.42,0.21,0.22,0.48
22371,4.25,1.63,2.25,0.47
21210,1.45,0.44,0.68,0.53
22553,1.65,0.47,0.58,0.65
16237,0.21,0.08,0.14,0.31
22714,0.42,0.11,0.35,0.16
22812,1.95,0.47,0.62,0.68
84347,2.55,1.39,1.71,0.33
22736,1.65,0.49,0.53,0.68
22620,1.25,0.98,1.09,0.13
21705,1.65,0.84,1.24,0.25
90199C,6.35,1.05,2.86,0.55
22785,6.75,5.28,5.54,0.18
22975,1.25,1.03,1.14,0.09
22972,1.65,1.27,1.4,0.15
22568,3.75,0.75,1.43,0.62
85116,2.1,1.75,1.93,0.08
22664,2.1,0.15,0.5,0.76
21609,2.95,2.44,2.83,0.04
21866,1.25,1.02,1.23,0.02
20669,1.25,1.13,1.2,0.04
90129F,2.95,2.05,2.71,0.08
90210B,2.95,0.27,2.24,0.24
21955,7.95,7.35,7.63,0.04
72802C,4.25,0.11,2.42,0.43
22109,3.75,0.34,2.55,0.32
22531,0.42,0.16,0.21,0.5
21811,1.25,1.23,1.23,0.02
22183,6.75,0.64,6.01,0.11
21678,0.85,0.03,0.6,0.29
21676,0.85,0.42,0.44,0.48
85169B,1.25,0.25,0.96,0.23
16238,0.21,0.05,0.15,0.28
84906,5.95,1.45,2.32,0.61
21867,1.25,0.42,1.19,0.05
22075,1.65,0.56,1.14,0.31
21326,0.65,0.35,0.45,0.3
21065,5.95,5.84,5.83,0.02
22074,1.65,0.75,1.37,0.17
20713,1.95,0.08,1.85,0.05
21116,4.95,4.82,4.85,0.02
21824,1.45,0.25,0.81,0.44
21823,1.45,0.8,1.2,0.17
22153,0.42,0.08,0.1,0.76
85099F,1.95,1.31,1.4,0.28
20717,1.25,1.24,1.24,0.01
22328,2.95,2.13,2.68,0.09
22327,2.95,1.11,2.24,0.24
22630,1.95,0.87,1.21,0.38
21245,1.69,1.25,1.39,0.18
21244,1.69,0.96,1.23,0.27
21242,1.69,0.95,1.54,0.09
21243,1.69,1.1,1.44,0.15
22273,2.95,0.06,0.29,0.9
22940,4.25,3.72,3.99,0.06
22759,1.65,0.71,1.58,0.04
21880,0.65,0.39,0.47,0.27
21738,2.95,0.61,0.97,0.67
22077,1.65,1.06,1.35,0.18
21448,1.65,0.73,0.78,0.53
22243,1.65,1.55,1.55,0.06
22141,2.1,0.3,1.72,0.18
22144,2.1,1.82,1.91,0.09
21739,2.95,1.93,2.8,0.05
22271,2.95,0.77,1.27,0.57
22274,2.95,2.05,2.68,0.09
22751,3.75,1.44,2.85,0.24
21034,0.95,0.57,0.81,0.15
22570,3.75,0.83,3.6,0.04
22569,3.75,0.88,2.36,0.37
22902,2.1,0.38,0.57,0.73
21710,4.95,2.99,3.96,0.2
21708,4.95,2.89,3.51,0.29
21711,4.95,3.33,4.06,0.18
22179,6.75,3.84,5.2,0.23
21706,4.95,1.68,4.06,0.18
85184C,2.95,0.75,2.8,0.05
22988,1.25,0.81,1.14,0.09
20750,7.95,2.22,2.39,0.7
22952,0.55,0.12,0.35,0.36
22739,1.65,0.23,0.48,0.71
22738,1.65,0.45,1.04,0.37
22909,0.85,0.76,0.77,0.1
35591T,1.25,0.94,0.99,0.21
22186,2.95,1.79,2.15,0.27
22695,1.45,0.18,0.49,0.66
22580,5.95,5.73,5.77,0.03
22147,1.45,0.35,0.86,0.41
22130,0.85,0.7,0.75,0.12
22694,2.1,1.13,1.34,0.36
21790,0.85,0.69,0.79,0.07
22149,2.1,1.16,1.81,0.14
22321,0.85,0.61,0.8,0.06
22594,0.85,0.42,0.69,0.19
22593,0.85,0.17,0.31,0.63
22595,0.85,0.07,0.21,0.75
21986,0.29,0.22,0.26,0.09
22750,3.75,2.91,3.38,0.1
22616,0.29,0.21,0.25,0.15
22775,1.25,0.09,1.21,0.03
22899,2.1,1.12,1.49,0.29
22367,1.95,1.3,1.7,0.13
22942,8.5,1.85,7.48,0.12
21976,0.55,0.31,0.5,0.09
22951,0.55,0.13,0.44,0.2
22834,2.1,0.15,0.78,0.63
21916,0.42,0.1,0.38,0.1
22587,0.85,0.74,0.82,0.03
22566,0.85,0.22,0.48,0.44
22565,0.85,0.47,0.69,0.19
22472,4.95,4.49,4.5,0.09
22557,1.65,0.39,1.12,0.32
22551,1.65,0.55,1.5,0.09
22554,1.65,0.07,1.29,0.22
22534,0.42,0.15,0.16,0.63
22529,0.42,0.18,0.4,0.04
22530,0.42,0.36,0.37,0.13
84032B,2.95,1.14,1.59,0.46
85049H,1.25,0.58,0.69,0.45
22807,2.95,1.28,2.33,0.21
21494,1.25,0.23,0.81,0.35
22938,1.95,0.67,1.17,0.4
21892,1.25,1.2,1.23,0.02
21890,2.95,0.31,0.94,0.68
21718,1.25,0.21,0.8,0.36
21716,2.55,0.13,0.56,0.78
21715,2.55,0.42,2.37,0.07
22113,3.75,2.78,3.23,0.14
22358,2.95,0.56,2.24,0.24
22357,4.25,3.54,3.61,0.15
22115,2.95,1.57,2.01,0.32
21481,2.95,1.24,2.74,0.07
22585,1.25,0.8,1.11,0.11
21556,2.55,0.47,0.61,0.76
22645,1.45,1.01,1.09,0.25
22650,1.45,0.1,0.94,0.35
22508,3.75,0.82,1.09,0.71
22511,3.75,3.2,3.64,0.03
22829,9.95,6.44,8.96,0.1
21154,1.06,0.91,1.0,0.06
17021,0.24,0.23,0.23,0.03
22059,1.25,0.33,0.93,0.26
84678,1.25,0.07,0.29,0.77
85172,0.42,0.02,0.15,0.65
22142,1.45,0.25,0.45,0.69
21591,1.25,0.09,0.49,0.61
22480,1.25,0.05,0.95,0.24
22294,1.25,0.99,1.15,0.08
21156,1.95,0.44,1.4,0.28
10133,0.85,0.33,0.51,0.4
72800E,2.55,1.98,2.24,0.12
84836,1.25,0.63,0.85,0.32
20774,1.65,0.05,1.15,0.3
20773,1.65,0.39,1.47,0.11
20777,1.65,0.71,0.74,0.55
16016,0.85,0.53,0.71,0.16
16014,0.42,0.25,0.37,0.12
21651,1.65,0.69,1.57,0.05
22618,9.95,1.06,7.16,0.28
21586,2.55,2.17,2.37,0.07
22152,0.42,0.36,0.41,0.03
84754,1.25,0.41,0.74,0.41
22670,1.25,0.17,0.34,0.73
84849B,1.69,0.18,0.37,0.78
22927,5.95,5.72,5.83,0.02
22925,5.95,2.81,3.87,0.35
21259,5.95,5.67,5.83,0.02
21257,7.95,2.63,7.55,0.05
21121,1.25,0.92,1.17,0.06
82552,1.45,0.3,0.87,0.4
90200B,4.25,2.1,3.02,0.29
90059B,1.65,1.49,1.52,0.08
90185C,4.25,3.82,3.95,0.07
90059E,1.65,0.15,1.35,0.18
90059C,1.65,0.91,0.97,0.41
90200C,4.25,1.29,4.12,0.03
90200D,4.25,0.97,1.23,0.71
90200A,4.25,3.46,3.49,0.18
22737,1.65,1.14,1.48,0.1
21260,3.25,3.23,3.22,0.01
22744,2.95,0.46,0.86,0.71
21985,0.29,0.05,0.14,0.51
22295,1.65,1.03,1.07,0.35
16258A,0.42,0.14,0.27,0.36
21992,2.95,0.83,2.8,0.05
21124,1.25,0.52,1.01,0.19
22735,1.65,0.29,1.22,0.26
22945,0.85,0.09,0.34,0.6
21816,1.45,1.29,1.33,0.08
21815,1.45,0.59,0.96,0.34
21814,1.45,0.49,1.25,0.14
10125,0.85,0.05,0.67,0.21
22573,0.85,0.14,0.72,0.15
22577,0.85,0.3,0.59,0.3
22603,0.85,0.22,0.65,0.23
20878,1.25,0.5,0.78,0.38
20866,1.25,0.61,1.12,0.1
85095,1.95,0.91,0.97,0.5
22333,1.65,1.36,1.5,0.09
21584,1.65,1.24,1.25,0.24
22731,1.25,0.88,1.16,0.07
22956,2.1,0.93,1.68,0.2
22582,2.55,2.33,2.5,0.02
85231B,0.85,0.04,0.11,0.87
85231G,0.85,0.59,0.69,0.19
22082,1.65,1.27,1.48,0.1
22500,4.95,2.91,2.92,0.41
22742,2.95,0.52,2.6,0.12
21329,1.65,0.31,1.6,0.03
21327,1.65,0.2,0.91,0.45
48173C,7.95,2.64,3.02,0.62
72818,0.85,0.08,0.45,0.47
22312,2.95,1.19,2.74,0.07
21137,3.39,1.06,1.59,0.53
22041,2.1,0.25,1.2,0.43
20979,1.25,0.59,0.69,0.45
20977,1.25,0.77,1.09,0.13
22571,0.72,0.11,0.7,0.03
22423,10.95,8.61,8.65,0.21
21621,8.5,6.16,7.65,0.1
47563A,3.75,1.66,2.66,0.29
84558A,2.95,1.91,2.8,0.05
21577,2.25,0.93,1.01,0.55
22087,2.95,2.27,2.33,0.21
22651,0.85,0.85,0.84,0.01
22713,0.42,0.18,0.4,0.04
21370,6.35,3.82,4.83,0.24
21367,2.55,0.53,0.97,0.62
22376,4.25,3.47,3.99,0.06
21895,4.25,2.43,2.97,0.3
22372,4.25,2.97,3.87,0.09
21190,1.65,1.3,1.34,0.19
21894,1.25,0.06,0.8,0.36
70007,1.65,1.4,1.47,0.11
46000M,1.55,0.16,0.82,0.47
22712,0.42,0.17,0.17,0.59
22983,0.42,0.06,0.24,0.42
22024,0.42,0.02,0.08,0.81
21488,3.95,1.48,1.94,0.51
22895,2.95,1.5,1.89,0.36
22784,4.95,2.68,2.97,0.4
21441,0.85,0.52,0.65,0.24
84947,1.06,0.79,0.8,0.25
22485,12.75,6.2,6.38,0.5
21794,6.75,4.43,5.13,0.24
20707,1.25,0.61,1.21,0.03
22588,2.55,0.48,0.64,0.75
21292,0.85,0.75,0.81,0.05
22760,12.75,7.89,9.05,0.29
22107,3.75,1.12,2.81,0.25
21486,3.75,1.98,2.66,0.29
22151,0.42,0.17,0.31,0.26
22643,2.55,0.96,1.89,0.26
22642,2.55,1.86,2.47,0.03
22604,2.55,0.62,0.84,0.67
22099,1.25,0.12,1.1,0.12
22653,1.95,0.94,1.74,0.11
22906,1.65,0.77,1.11,0.33
22754,0.85,0.85,0.84,0.01
22919,0.65,0.49,0.57,0.12
22917,0.65,0.26,0.59,0.1
22920,0.65,0.37,0.38,0.41
22921,0.65,0.64,0.64,0.02
22918,0.65,0.2,0.4,0.38
22916,0.65,0.62,0.62,0.04
22575,1.95,0.28,1.03,0.47
21804,3.75,1.65,3.0,0.2
21588,2.55,1.59,2.12,0.17
22955,2.1,0.34,1.7,0.19
22583,2.55,1.25,2.01,0.21
22241,1.25,0.91,1.15,0.08
22904,2.95,2.87,2.89,0.02
22905,2.95,0.18,0.24,0.92
22092,1.25,0.79,1.01,0.19
22096,1.25,1.18,1.2,0.04
21358,1.25,0.37,1.14,0.09
21123,1.25,0.38,1.09,0.13
21427,2.1,1.49,1.78,0.15
21930,1.95,1.56,1.91,0.02
20772,2.55,2.26,2.47,0.03
71406C,0.42,0.17,0.28,0.33
84985A,1.45,1.32,1.42,0.02
20754,2.1,0.11,0.86,0.59
84596E,1.25,0.62,0.65,0.48
21111,2.95,2.65,2.77,0.06
22501,9.95,8.13,9.25,0.07
22854,4.95,0.3,0.94,0.81
84997D,3.75,0.9,1.69,0.55
47599A,2.1,1.39,2.04,0.03
47599B,2.1,1.11,1.87,0.11
20972,1.25,0.5,1.19,0.05
21041,2.95,1.99,2.27,0.23
21664,3.75,0.96,1.61,0.57
22907,0.85,0.28,0.48,0.44
22776,9.95,5.41,5.87,0.41
21810,1.25,1.0,1.14,0.09
21197,1.65,1.09,1.17,0.29
85035B,4.25,3.39,3.44,0.19
84968C,12.75,12.61,12.49,0.02
21098,1.25,0.64,0.91,0.27
21192,1.65,1.28,1.6,0.03
72800B,2.55,1.76,2.24,0.12
84563A,5.95,3.2,4.22,0.29
47504H,1.95,1.5,1.7,0.13
21742,5.95,4.02,5.36,0.1
22481,1.25,1.22,1.23,0.02
22943,4.95,1.51,1.78,0.64
22699,2.95,1.73,2.83,0.04
22217,1.25,1.08,1.15,0.08
22227,0.65,0.54,0.6,0.08
21106,2.95,1.59,2.68,0.09
21107,2.95,2.62,2.71,0.08
22697,2.95,0.57,1.71,0.42
21826,1.25,0.36,0.64,0.49
22548,1.25,0.87,1.0,0.2
17164B,0.42,0.15,0.3,0.29
22429,4.25,2.25,3.53,0.17
20974,0.65,0.65,0.65,0.0
20973,0.65,0.16,0.24,0.63
15044B,2.95,1.08,2.83,0.04
21135,1.69,0.75,1.4,0.17
22173,2.95,1.43,2.42,0.18
22626,8.5,5.95,6.97,0.18
22625,8.5,1.54,7.57,0.11
22624,8.5,0.41,6.04,0.29
84945,0.85,0.78,0.8,0.06
22244,1.95,0.9,1.01,0.48
47421,0.42,0.16,0.34,0.2
20712,1.95,0.63,0.9,0.54
22973,1.65,1.11,1.47,0.11
84569B,1.25,0.17,0.99,0.21
22815,0.42,0.41,0.41,0.02
85114B,1.65,0.54,1.22,0.26
22584,2.55,1.95,2.04,0.2
22454,2.95,2.06,2.15,0.27
85114C,1.65,1.46,1.5,0.09
22974,1.65,1.08,1.58,0.04
21452,2.95,1.4,2.09,0.29
22743,2.95,0.83,1.48,0.5
22911,2.95,1.49,2.66,0.1
22453,2.95,1.46,2.57,0.13
22445,2.95,2.29,2.45,0.17
22607,9.95,0.63,2.79,0.72
22635,9.95,1.49,8.26,0.17
22634,9.95,8.06,8.06,0.19
22222,4.95,4.37,4.75,0.04
22947,16.95,1.49,2.2,0.87
22187,4.25,1.67,2.0,0.53
22164,2.95,0.5,2.33,0.21
72598,0.85,0.18,0.35,0.59
22627,8.5,7.23,7.31,0.14
22487,9.95,2.02,3.58,0.64
22360,2.95,1.83,2.74,0.07
22364,2.95,2.73,2.8,0.05
21657,6.95,5.38,5.84,0.16
22120,9.95,2.34,5.97,0.4
21038,2.95,1.1,2.36,0.2
21625,6.95,2.49,5.91,0.15
22097,1.25,0.56,0.81,0.35
21179,1.25,1.24,1.24,0.01
22185,1.65,1.63,1.62,0.02
21662,5.95,4.61,5.65,0.05
85104,2.95,2.93,2.92,0.01
21654,1.45,0.3,0.93,0.36
21658,3.95,3.13,3.36,0.15
21519,0.42,0.18,0.38,0.1
22819,0.42,0.3,0.31,0.27
22704,0.42,0.36,0.41,0.03
21498,0.42,0.36,0.4,0.04
22049,0.42,0.42,0.42,0.01
21497,0.42,0.15,0.31,0.26
21333,2.95,2.07,2.24,0.24
22194,8.5,2.03,2.89,0.66
22688,7.95,4.73,7.47,0.06
84692,0.42,0.23,0.34,0.2
22444,1.06,0.97,1.01,0.05
22556,1.65,1.48,1.6,0.03
22555,1.65,0.94,1.32,0.2
22547,0.42,0.21,0.32,0.23
22543,0.42,0.24,0.32,0.23
22539,0.42,0.2,0.34,0.18
22561,1.65,1.65,1.62,0.02
22489,0.42,0.08,0.2,0.52
22814,0.42,0.18,0.25,0.41
21520,0.42,0.07,0.26,0.37
21982,0.29,0.19,0.26,0.12
21981,0.29,0.05,0.14,0.5
21967,0.29,0.26,0.27,0.08
21983,0.29,0.23,0.25,0.14
22615,0.29,0.23,0.26,0.11
22614,0.29,0.07,0.14,0.51
22095,1.25,0.15,0.5,0.6
22094,1.25,0.61,1.16,0.07
21984,0.29,0.27,0.28,0.05
22966,1.25,0.2,0.78,0.38
21874,1.25,0.99,1.06,0.15
21873,1.25,0.55,0.98,0.22
21870,1.25,0.23,1.04,0.17
84050,1.25,0.57,0.98,0.22
22315,1.25,0.69,0.89,0.29
22667,2.95,1.82,2.8,0.05
22666,2.95,1.88,2.24,0.24
22665,2.95,0.96,1.09,0.63
22567,1.25,0.21,0.54,0.57
82600,2.1,1.64,1.74,0.17
22842,6.75,6.2,6.28,0.07
22494,1.25,0.28,0.33,0.74
22740,0.85,0.03,0.41,0.52
22825,7.95,5.39,6.04,0.24
22680,1.25,1.17,1.17,0.06
22797,16.95,12.13,16.27,0.04
21843,10.95,8.5,9.64,0.12
22118,4.95,3.32,4.16,0.16
22121,5.95,0.83,0.95,0.84
22119,6.95,0.88,3.13,0.55
22311,2.95,0.27,0.71,0.76
72817,1.25,0.96,1.12,0.1
22277,2.1,0.91,1.85,0.12
20867,1.25,0.76,0.79,0.37
