,date,Quantity
333,2011-01-20,10497
334,2011-01-21,15305
335,2011-01-23,5241
336,2011-01-24,12029
337,2011-01-25,15614
338,2011-01-26,10976
339,2011-01-27,11577
340,2011-01-28,18145
341,2011-01-30,3431
342,2011-01-31,13415
343,2011-02-01,15851
344,2011-02-02,9732
345,2011-02-03,16999
346,2011-02-04,14077
347,2011-02-06,2048
348,2011-02-07,9143
349,2011-02-08,10254
350,2011-02-09,7165
351,2011-02-10,11909
352,2011-02-11,10549
353,2011-02-13,2756
354,2011-02-14,13595
355,2011-02-15,22720
356,2011-02-16,16156
357,2011-02-17,14548
358,2011-02-18,9246
359,2011-02-20,5353
360,2011-02-21,21589
361,2011-02-22,21902
362,2011-02-23,13767
363,2011-02-24,11896
364,2011-02-25,10573
365,2011-02-27,4870
366,2011-02-28,9997
367,2011-03-01,12145
368,2011-03-02,8617
369,2011-03-03,20163
370,2011-03-04,13779
371,2011-03-06,5049
372,2011-03-07,14064
373,2011-03-08,14571
374,2011-03-09,15182
375,2011-03-10,16515
376,2011-03-11,10870
377,2011-03-13,2749
378,2011-03-14,16765
379,2011-03-15,9080
380,2011-03-16,12947
381,2011-03-17,21002
382,2011-03-18,14052
383,2011-03-20,14195
384,2011-03-21,10311
385,2011-03-22,16664
386,2011-03-23,14462
387,2011-03-24,18569
388,2011-03-25,14179
389,2011-03-27,4530
390,2011-03-28,13526
391,2011-03-29,32916
392,2011-03-30,21132
393,2011-03-31,16916
394,2011-04-01,18564
395,2011-04-03,5679
396,2011-04-04,14015
397,2011-04-05,16056
398,2011-04-06,9524
399,2011-04-07,10545
400,2011-04-08,13219
401,2011-04-10,5632
402,2011-04-11,13640
403,2011-04-12,15341
404,2011-04-13,18769
405,2011-04-14,18878
406,2011-04-15,12729
407,2011-04-17,8183
408,2011-04-18,31494
409,2011-04-19,14482
410,2011-04-20,18390
411,2011-04-21,18394
412,2011-04-26,16173
413,2011-04-27,18627
414,2011-04-28,13842
415,2011-05-01,3819
416,2011-05-03,12606
417,2011-05-04,17385
418,2011-05-05,17483
419,2011-05-06,20424
420,2011-05-08,10702
421,2011-05-09,13359
422,2011-05-10,19802
423,2011-05-11,18913
424,2011-05-12,37833
425,2011-05-13,15247
426,2011-05-15,4898
427,2011-05-16,16020
428,2011-05-17,27143
429,2011-05-18,19073
430,2011-05-19,18347
431,2011-05-20,15504
432,2011-05-22,12749
433,2011-05-23,18231
434,2011-05-24,15991
435,2011-05-25,14638
436,2011-05-26,16349
437,2011-05-27,17022
438,2011-05-29,4124
439,2011-05-31,11763
440,2011-06-01,10990
441,2011-06-02,14657
442,2011-06-03,7691
443,2011-06-05,13501
444,2011-06-06,9462
445,2011-06-07,18768
446,2011-06-08,21284
447,2011-06-09,32363
448,2011-06-10,11043
449,2011-06-12,9491
450,2011-06-13,11302
451,2011-06-14,14624
452,2011-06-15,30720
453,2011-06-16,20315
454,2011-06-17,11764
455,2011-06-19,15081
456,2011-06-20,16734
457,2011-06-21,14275
458,2011-06-22,15840
459,2011-06-23,14739
460,2011-06-24,9985
461,2011-06-26,3786
462,2011-06-27,9918
463,2011-06-28,21934
464,2011-06-29,12111
465,2011-06-30,21959
466,2011-07-01,7813
467,2011-07-03,3117
468,2011-07-04,15736
469,2011-07-05,22131
470,2011-07-06,19323
471,2011-07-07,19803
472,2011-07-08,12738
473,2011-07-10,4255
474,2011-07-11,15177
475,2011-07-12,13981
476,2011-07-13,16300
477,2011-07-14,20881
478,2011-07-15,7405
479,2011-07-17,11044
480,2011-07-18,15305
481,2011-07-19,29349
482,2011-07-20,17737
483,2011-07-21,20091
484,2011-07-22,10302
485,2011-07-24,17670
486,2011-07-25,16100
487,2011-07-26,14056
488,2011-07-27,14142
489,2011-07-28,30584
490,2011-07-29,11621
491,2011-07-31,20878
492,2011-08-01,11722
493,2011-08-02,15721
494,2011-08-03,16623
495,2011-08-04,41148
496,2011-08-05,12818
497,2011-08-07,5186
498,2011-08-08,13412
499,2011-08-09,16261
500,2011-08-10,14423
501,2011-08-11,40299
502,2011-08-12,12024
503,2011-08-14,3180
504,2011-08-15,10201
505,2011-08-16,11262
506,2011-08-17,25715
507,2011-08-18,34174
508,2011-08-19,10672
509,2011-08-21,8169
510,2011-08-22,15556
511,2011-08-23,15181
512,2011-08-24,29522
513,2011-08-25,13487
514,2011-08-26,18175
515,2011-08-28,6774
516,2011-08-30,10304
517,2011-08-31,13007
518,2011-09-01,27858
519,2011-09-02,18956
520,2011-09-04,10963
521,2011-09-05,23653
522,2011-09-06,15090
523,2011-09-07,16392
524,2011-09-08,17468
525,2011-09-09,17405
526,2011-09-11,21146
527,2011-09-12,17663
528,2011-09-13,36936
529,2011-09-14,14334
530,2011-09-15,29324
531,2011-09-16,16009
532,2011-09-18,8994
533,2011-09-19,29394
534,2011-09-20,43733
535,2011-09-21,22334
536,2011-09-22,33225
537,2011-09-23,21912
538,2011-09-25,19505
539,2011-09-26,15353
540,2011-09-27,21965
541,2011-09-28,25559
542,2011-09-29,27682
543,2011-09-30,22563
544,2011-10-02,8385
545,2011-10-03,26003
546,2011-10-04,25806
547,2011-10-05,46338
548,2011-10-06,36847
549,2011-10-07,31090
550,2011-10-09,7556
551,2011-10-10,26212
552,2011-10-11,28524
553,2011-10-12,17915
554,2011-10-13,19108
555,2011-10-14,18268
556,2011-10-16,8770
557,2011-10-17,31410
558,2011-10-18,29588
559,2011-10-19,19260
560,2011-10-20,40919
561,2011-10-21,24793
562,2011-10-23,7073
563,2011-10-24,26527
564,2011-10-25,27073
565,2011-10-26,21343
566,2011-10-27,33910
567,2011-10-28,24162
568,2011-10-30,20068
569,2011-10-31,21797
570,2011-11-01,16913
571,2011-11-02,28768
572,2011-11-03,34618
573,2011-11-04,35438
574,2011-11-06,23309
575,2011-11-07,31395
576,2011-11-08,26538
577,2011-11-09,38269
578,2011-11-10,39239
579,2011-11-11,29063
580,2011-11-13,20840
581,2011-11-14,47631
582,2011-11-15,30912
583,2011-11-16,33144
584,2011-11-17,31993
585,2011-11-18,24338
586,2011-11-20,19416
587,2011-11-21,25814
588,2011-11-22,36025
589,2011-11-23,39420
590,2011-11-24,26629
591,2011-11-25,31775
592,2011-11-27,11173
593,2011-11-28,29466
594,2011-11-29,30940
595,2011-11-30,28532
596,2011-12-01,27051
597,2011-12-02,28825
598,2011-12-04,12412
599,2011-12-05,44664
600,2011-12-06,30469
601,2011-12-07,41980
602,2011-12-08,35672
603,2011-12-09,93980
